state,year,own_proxy
North Dakota,2001,0.502204390229035
Ohio,2001,0.3377711265914614
Oklahoma,2001,0.45999150345323925
Oregon,2001,0.3955431772911242
Pennsylvania,2001,0.37954035334905223
Rhode Island,2001,0.14407204970330836
South Carolina,2001,0.44398656085107546
South Dakota,2001,0.53018906852675185
Tennessee,2001,0.4942904670567239
Texas,2001,0.3939180736331421
Utah,2001,0.3944231519548043
Vermont,2001,0.48823826008428256
Virginia,2001,0.3668972759644978
Washington,2001,0.3353665856852288
West Virginia,2001,0.542469734314463
Wisconsin,2001,0.4194507715852022
Wyoming,2001,0.7216911517221152
Alabama,2002,0.4825012513552103
Alaska,2002,0.5634061960700948
Arizona,2002,0.3848414839135457
Arkansas,2002,0.5430172548464437
California,2002,0.2518233562401565
Colorado,2002,0.35391131041526924
Connecticut,2002,0.17637755085349036
Delaware,2002,0.3030340864596613
Florida,2002,0.2865635478630067
Georgia,2002,0.41891125371322685
Hawaii,2002,0.07171060609960107
Idaho,2002,0.5861539000673865
Illinois,2002,0.23449678760506729
Indiana,2002,0.38095551729488797
Iowa,2002,0.3622025603184106
Kansas,2002,0.36370130088630764
Kentucky,2002,0.4674863845950367
Louisiana,2002,0.4571633473343972
Maine,2002,0.415470757443161
Maryland,2002,0.2844074288757663
Massachusetts,2002,0.10766157102138975
Michigan,2002,0.3765164147145732
Minnesota,2002,0.3821095934434233
Mississippi,2002,0.5129729046038739
Missouri,2002,0.4390667669913036
Montana,2002,0.6166199849416146
Nebraska,2002,0.39222244628549935
Nevada,2002,0.3460043521675037
New Hampshire,2002,0.3240057702009219
New Jersey,2002,0.16329176036141205
New Mexico,2002,0.3978798920581357
New York,2002,0.2028740437590873
North Carolina,2002,0.40893795422949486
North Dakota,2002,0.5588204361883249
Ohio,2002,0.3219566776955451
Oklahoma,2002,0.44665726734156463
Oregon,2002,0.39678196237148555
Pennsylvania,2002,0.3808393918656245
Rhode Island,2002,0.1825051615112442
South Carolina,2002,0.45893883519573164
South Dakota,2002,0.6028767598796994
Tennessee,2002,0.5085789955361002
Texas,2002,0.36237642279446625
Utah,2002,0.3545311833480816
Vermont,2002,0.4817600609862286
Virginia,2002,0.38385869423379293
Washington,2002,0.32563454023063143
West Virginia,2002,0.5485092721628742
Wisconsin,2002,0.3998577377467543
Wyoming,2002,0.7429113809659867
Alabama,2003,0.49641636571461
Alaska,2003,0.5263899119619814
Arizona,2003,0.3511304362887275
Arkansas,2003,0.5402219045780307
California,2003,0.2400373543767413
Colorado,2003,0.34056122443603243
Connecticut,2003,0.1754879268463693
Delaware,2003,0.25925647621020836
Florida,2003,0.3016619814632392
Georgia,2003,0.4171233471191655
Hawaii,2003,0.0761433277762718
Idaho,2003,0.5524436389816488
Illinois,2003,0.22918518726674883
Indiana,2003,0.3493125508366546
Iowa,2003,0.36951775039843787
Kansas,2003,0.41280527340097445
Kentucky,2003,0.48558994426544083
Louisiana,2003,0.4469988295574758
Maine,2003,0.44245250646552897
Maryland,2003,0.28202467899807393
Massachusetts,2003,0.13952100416397703
Michigan,2003,0.36638179964106476
Minnesota,2003,0.3857763785255068
Mississippi,2003,0.5035612626220592
Missouri,2003,0.43572083004139395
Montana,2003,0.6448921924646898
Nebraska,2003,0.38913699109265404
Nevada,2003,0.33832166677284903
New Hampshire,2003,0.30446132454776
New Jersey,2003,0.1586822482256661
New Mexico,2003,0.40258721240000783
New York,2003,0.21051041904919424
North Carolina,2003,0.4140407904067309
North Dakota,2003,0.5175858769164146
Ohio,2003,0.326709418801569
Oklahoma,2003,0.42641792345328894
Oregon,2003,0.39323668735945894
Pennsylvania,2003,0.3796579470806896
Rhode Island,2003,0.05465519956582236
South Carolina,2003,0.4551571816619785
South Dakota,2003,0.6234937992324736
Tennessee,2003,0.4936761885108691
Texas,2003,0.3635017993185135
Utah,2003,0.3675495981303949
Vermont,2003,0.39682223678330864
Virginia,2003,0.34758031244528176
Washington,2003,0.3270792885311698
West Virginia,2003,0.5556432341562058
Wisconsin,2003,0.3965818644486451
Wyoming,2003,0.6825750714191464
Alabama,2004,0.45166565655736884
Alaska,2004,0.5006550163152584
Arizona,2004,0.35043804977830945
Arkansas,2004,0.5158293080228878
California,2004,0.21683230799285624
Colorado,2004,0.3409562677868078
Connecticut,2004,0.19482181575426266
Delaware,2004,0.2836310239840617
Florida,2004,0.27712922315651944
Georgia,2004,0.3841992061430556
Hawaii,2004,0.12865687551830246
Idaho,2004,0.553937019964981
Illinois,2004,0.21530721247671536
Indiana,2004,0.3454015447470219
Iowa,2004,0.33148679548267657
Kansas,2004,0.37405384104567946
Kentucky,2004,0.46545481890289286
Louisiana,2004,0.45070447265196883
Maine,2004,0.46877961710627664
Maryland,2004,0.29090271224422437
Massachusetts,2004,0.10541078861110806
Michigan,2004,0.3519848949434185
Minnesota,2004,0.39992758532382744
Mississippi,2004,0.4864666337375386
Missouri,2004,0.39617148787795486
Montana,2004,0.5939007061504935
Nebraska,2004,0.391767501465583
Nevada,2004,0.33533449960388106
New Hampshire,2004,0.27822981358334026
New Jersey,2004,0.15795717138237778
New Mexico,2004,0.3621116428758884
New York,2004,0.20447549604067392
North Carolina,2004,0.37820821054760373
North Dakota,2004,0.5418250061323071
Ohio,2004,0.30526028074210854
Oklahoma,2004,0.44147621707508755
Oregon,2004,0.3805181964628091
Pennsylvania,2004,0.3643793068909925
Rhode Island,2004,0.12654095411972516
South Carolina,2004,0.45024232013007376
South Dakota,2004,0.6049418146718145
Tennessee,2004,0.5021521616075089
Texas,2004,0.3630512128015442
Utah,2004,0.33554902737139436
Vermont,2004,0.48858870312729247
Virginia,2004,0.3714204671373815
Washington,2004,0.3065974560384581
West Virginia,2004,0.5425757310139554
Wisconsin,2004,0.38131442691322837
Wyoming,2004,0.5900906741311511
Alabama,2005,0.4479636226026669
Alaska,2005,0.5360415710775069
Arizona,2005,0.32743026840358913
Arkansas,2005,0.5151448991712576
California,2005,0.22212548209924848
Colorado,2005,0.33633524540382503
Connecticut,2005,0.2077727793259379
Delaware,2005,0.294955166512733
Florida,2005,0.2730776743704878
Georgia,2005,0.3929823147504308
Hawaii,2005,0.08975347501084371
Idaho,2005,0.58634230396358
Illinois,2005,0.22322864301249198
Indiana,2005,0.34271510135919825
Iowa,2005,0.37143297025832916
Kansas,2005,0.35682840824959255
Kentucky,2005,0.4549981013799306
Louisiana,2005,0.44805273264927914
Maine,2005,0.4727451279139243
Maryland,2005,0.2686111065396036
Massachusetts,2005,0.10816887683127475
Michigan,2005,0.3604923002959275
Minnesota,2005,0.36818966895509
Mississippi,2005,0.47486149510254494
Missouri,2005,0.4226410499573054
Montana,2005,0.6300938344222005
Nebraska,2005,0.39840008099130714
Nevada,2005,0.32149865950179113
New Hampshire,2005,0.3112054016384416
New Jersey,2005,0.12291863182100306
New Mexico,2005,0.34153841937298646
New York,2005,0.22955613396204583
North Carolina,2005,0.3984992914892569
North Dakota,2005,0.5770073936695441
Ohio,2005,0.30503275368053623
Oklahoma,2005,0.4174991230134369
Oregon,2005,0.39752686242473084
Pennsylvania,2005,0.3766196741559137
Rhode Island,2005,0.13194121782988327
South Carolina,2005,0.39140862532058945
South Dakota,2005,0.6167271490568939
Tennessee,2005,0.4885887104554566
Texas,2005,0.3614625907538386
Utah,2005,0.3689205338359002
Vermont,2005,0.39679529439523925
Virginia,2005,0.3651557579297809
Washington,2005,0.2895609459985159
West Virginia,2005,0.5664770605205022
Wisconsin,2005,0.38820659046565614
Wyoming,2005,0.6343758603410756
Alabama,2006,0.4462848302500696
Alaska,2006,0.4825820682911013
Arizona,2006,0.3457139815097284
Arkansas,2006,0.5106631834745626
California,2006,0.2100059541189185
Colorado,2006,0.3451878174207308
Connecticut,2006,0.13976674995940483
Delaware,2006,0.2648511165515871
Florida,2006,0.27734788316156717
Georgia,2006,0.39689611214797216
Hawaii,2006,0.07051454569219326
Idaho,2006,0.5548255250421448
Illinois,2006,0.21256543322466356
Indiana,2006,0.33179272773539054
Iowa,2006,0.3372915394508494
Kansas,2006,0.3819875118294568
Kentucky,2006,0.4281217267545599
Louisiana,2006,0.44364184379021254
Maine,2006,0.4623130160183538
Maryland,2006,0.2769423837346779
Massachusetts,2006,0.10606586853711673
Michigan,2006,0.3723439697600744
Minnesota,2006,0.3494281974614398
Mississippi,2006,0.4635103217795886
Missouri,2006,0.3924884435110936
Montana,2006,0.5548738437462809
Nebraska,2006,0.3816943290810512
Nevada,2006,0.30644388630157715
New Hampshire,2006,0.29037294864118257
New Jersey,2006,0.1495542442714361
New Mexico,2006,0.35423018850012766
New York,2006,0.18354177973439953
North Carolina,2006,0.3793134710718639
North Dakota,2006,0.4823711088951674
Ohio,2006,0.2904911526372264
Oklahoma,2006,0.42291705238171085
Oregon,2006,0.36790820065840535
Pennsylvania,2006,0.369048847686443
Rhode Island,2006,0.15061957398678325
South Carolina,2006,0.3807789609794596
South Dakota,2006,0.636154284955282
Tennessee,2006,0.49062658093440326
Texas,2006,0.3540530596679756
Utah,2006,0.3515217816110615
Vermont,2006,0.4324801068951267
Virginia,2006,0.35365614317385924
Washington,2006,0.2927016718549448
West Virginia,2006,0.516074678587438
Wisconsin,2006,0.37392085105403394
Wyoming,2006,0.6266098147697581
Alabama,2007,0.4308479604324301
Alaska,2007,0.5122046429323079
Arizona,2007,0.3279029214464682
Arkansas,2007,0.47728466599192615
California,2007,0.20918534531245384
Colorado,2007,0.3299092112288802
Connecticut,2007,0.14978866272801164
Delaware,2007,0.2797643737236891
Florida,2007,0.27235387569757563
Georgia,2007,0.3916732414848881
Hawaii,2007,0.0874855926986509
Idaho,2007,0.5571007362054592
Illinois,2007,0.22123013817382414
Indiana,2007,0.31201008126199137
Iowa,2007,0.3138954434230626
Kansas,2007,0.38040069488605516
Kentucky,2007,0.4467627286831057
Louisiana,2007,0.424057933409512
Maine,2007,0.4070148072034852
Maryland,2007,0.25782492426526316
Massachusetts,2007,0.10206426418458729
Michigan,2007,0.34790974485646864
Minnesota,2007,0.3635428060989529
Mississippi,2007,0.4822497636467147
Missouri,2007,0.39161624853525334
Montana,2007,0.5951813736654248
Nebraska,2007,0.3666270445297601
Nevada,2007,0.3364627353742009
New Hampshire,2007,0.2837581946712148
New Jersey,2007,0.13729004773450215
New Mexico,2007,0.3067180395189149
New York,2007,0.18355192357711536
North Carolina,2007,0.3563134181724532
North Dakota,2007,0.5211024998223432
Ohio,2007,0.3119299373240007
Oklahoma,2007,0.4270064864209339
Oregon,2007,0.3779631300733323
Pennsylvania,2007,0.35081459736786175
Rhode Island,2007,0.11927753176733086
South Carolina,2007,0.37324906175121497
South Dakota,2007,0.5633631987872993
Tennessee,2007,0.4932952516071629
Texas,2007,0.3645864514375271
Utah,2007,0.3469500735951898
Vermont,2007,0.3933566631116554
Virginia,2007,0.3430413032945419
Washington,2007,0.2846465044948514
West Virginia,2007,0.5172926961515976
Wisconsin,2007,0.3818985271548113
Wyoming,2007,0.6516609295186335
Alabama,2008,0.4499188056141577
Alaska,2008,0.5396099444635747
Arizona,2008,0.33594196781670327
Arkansas,2008,0.47269743539204645
California,2008,0.2069275630098076
Colorado,2008,0.3233060098641466
Connecticut,2008,0.18472261987787378
Delaware,2008,0.21264253612962775
Florida,2008,0.2810021193894874
Georgia,2008,0.3907182850357555
Hawaii,2008,0.09284331915433354
Idaho,2008,0.5117186099976467
Illinois,2008,0.21040437321904015
Indiana,2008,0.3459840754330015
Iowa,2008,0.354918278870557
Kansas,2008,0.3786879513529818
Kentucky,2008,0.44321683184275423
Louisiana,2008,0.43161299059372465
Maine,2008,0.46401182099705274
Maryland,2008,0.29966518997685115
Massachusetts,2008,0.10843834963659718
Michigan,2008,0.34450052024933064
Minnesota,2008,0.37731198717955344
Mississippi,2008,0.4741133195534706
Missouri,2008,0.38058369084244587
Montana,2008,0.6251199690010947
Nebraska,2008,0.3795640578864871
Nevada,2008,0.32373017362374445
New Hampshire,2008,0.2995224203698562
New Jersey,2008,0.14171432551012883
New Mexico,2008,0.29697842273752395
New York,2008,0.17836851016282232
North Carolina,2008,0.3643018274763042
North Dakota,2008,0.6022762443931488
Ohio,2008,0.29557309273026056
Oklahoma,2008,0.43249363165111554
Oregon,2008,0.3815793196214796
Pennsylvania,2008,0.34903803565313685
Rhode Island,2008,0.09404651201824846
South Carolina,2008,0.37978023702453306
South Dakota,2008,0.6276257239322846
Tennessee,2008,0.48017052205699734
Texas,2008,0.3682869554982654
Utah,2008,0.3376341213403442
Vermont,2008,0.3876638442701299
Virginia,2008,0.34107766776553783
Washington,2008,0.2942434139160416
West Virginia,2008,0.50113287709971
Wisconsin,2008,0.38219404312301075
Wyoming,2008,0.6839370351533559
Alabama,2009,0.45737296717315873
Alaska,2009,0.454368812630393
Arizona,2009,0.34490644050305513
Arkansas,2009,0.5191946591786378
California,2009,0.21058084752216794
Colorado,2009,0.32244667767736546
Connecticut,2009,0.15254447409989333
Delaware,2009,0.19963226176254387
Florida,2009,0.2842933122270805
Georgia,2009,0.39327263877281177
Hawaii,2009,0.08826835782542357
Idaho,2009,0.50160151489286
Illinois,2009,0.19531859178477148
Indiana,2009,0.34375636470538784
Iowa,2009,0.3350201599552387
Kansas,2009,0.36223742448015595
Kentucky,2009,0.4654889512678124
Louisiana,2009,0.44251467250729276
Maine,2009,0.444566294156242
Maryland,2009,0.2623866620251816
Massachusetts,2009,0.0690516730093916
Michigan,2009,0.3487474096066838
Minnesota,2009,0.3741121194146064
Mississippi,2009,0.4804339900014439
Missouri,2009,0.383752886384926
Montana,2009,0.604800064474438
Nebraska,2009,0.3997004725931121
Nevada,2009,0.3438501045168032
New Hampshire,2009,0.3111981688919168
New Jersey,2009,0.15778914922470066
New Mexico,2009,0.3233049639844719
New York,2009,0.17307473698690864
North Carolina,2009,0.36688661292856034
North Dakota,2009,0.5540437941612113
Ohio,2009,0.30429473886444286
Oklahoma,2009,0.46041064273144905
Oregon,2009,0.3670093849334327
Pennsylvania,2009,0.34874363189884194
Rhode Island,2009,0.1745625283565564
South Carolina,2009,0.3816320592171127
South Dakota,2009,0.590044754927608
Tennessee,2009,0.44690573279259466
Texas,2009,0.35118531333841213
Utah,2009,0.32425514828744284
Vermont,2009,0.5179565066194834
Virginia,2009,0.3383580649542466
Washington,2009,0.3039455556080632
West Virginia,2009,0.5281002818409761
Wisconsin,2009,0.38977476920259063
Wyoming,2009,0.7002767121524396
Alabama,2010,0.43032478926292633
Alaska,2010,0.5150253792844522
Arizona,2010,0.3421595578914879
Arkansas,2010,0.46864719778941677
California,2010,0.20043256363859654
Colorado,2010,0.3259344063125287
Connecticut,2010,0.16339243580796414
Delaware,2010,0.22936723150697994
Florida,2010,0.28811960613471777
Georgia,2010,0.3830406015513102
Hawaii,2010,0.07192410377970009
Idaho,2010,0.5313498629952367
Illinois,2010,0.21373693494952206
Indiana,2010,0.32686652805832817
Iowa,2010,0.348006744242599
Kansas,2010,0.3637860246557619
Kentucky,2010,0.4377785389300645
Louisiana,2010,0.4581163284312325
Maine,2010,0.4280039919737991
Maryland,2010,0.2521677100671619
Massachusetts,2010,0.10762933754263086
Michigan,2010,0.3375142565230626
Minnesota,2010,0.3618555217201
Mississippi,2010,0.453717456132233
Missouri,2010,0.3973570294497042
Montana,2010,0.6067567632852908
Nebraska,2010,0.4042676804105802
Nevada,2010,0.3094518437894157
New Hampshire,2010,0.32638032128823674
New Jersey,2010,0.1259424017613891
New Mexico,2010,0.3156681360228496
New York,2010,0.17232866735439478
North Carolina,2010,0.38337417517905253
North Dakota,2010,0.5447362647340581
Ohio,2010,0.30461679461041974
Oklahoma,2010,0.4378445094714919
Oregon,2010,0.3746437807767925
Pennsylvania,2010,0.33312491678263056
Rhode Island,2010,0.1085763446668891
South Carolina,2010,0.38499306553081736
South Dakota,2010,0.5966211413193205
Tennessee,2010,0.45548206576676653
Texas,2010,0.366515392635047
Utah,2010,0.38749401227489266
Vermont,2010,0.4830774935470727
Virginia,2010,0.3679632337027929
Washington,2010,0.2897879785228719
West Virginia,2010,0.5533324904082672
Wisconsin,2010,0.3892444339050285
Wyoming,2010,0.6403927190046081
Alabama,2011,0.5064855005414061
Alaska,2011,0.5426131603550223
Arizona,2011,0.34842389281497665
Arkansas,2011,0.503147518115128
California,2011,0.20646976925079705
Colorado,2011,0.3193915034894135
Connecticut,2011,0.1562390848867537
Delaware,2011,0.2497993819818074
Florida,2011,0.28582156821099125
Georgia,2011,0.3878103236777737
Hawaii,2011,0.10614912977303577
Idaho,2011,0.5063568726761446
Illinois,2011,0.216780909586696
Indiana,2011,0.2906066634033106
Iowa,2011,0.32166170039365094
Kansas,2011,0.4051684082534255
Kentucky,2011,0.4534613256749626
Louisiana,2011,0.43918409902135486
Maine,2011,0.40680905795243905
Maryland,2011,0.24681337148617766
Massachusetts,2011,0.087753309082856
Michigan,2011,0.3570787319875366
Minnesota,2011,0.36705431287287943
Mississippi,2011,0.4692150157232346
Missouri,2011,0.384414682767291
Montana,2011,0.6271997982539773
Nebraska,2011,0.4181621524166421
Nevada,2011,0.3078877491974392
New Hampshire,2011,0.23776785946191345
New Jersey,2011,0.1278798044760323
New Mexico,2011,0.3361910090032342
New York,2011,0.1813261360315861
North Carolina,2011,0.383450503628533
North Dakota,2011,0.5011510526595575
Ohio,2011,0.30095660909024047
Oklahoma,2011,0.46025895264596817
Oregon,2011,0.35858531724488807
Pennsylvania,2011,0.34646393407003623
Rhode Island,2011,0.0869387353322311
South Carolina,2011,0.4085769909298645
South Dakota,2011,0.5911254077544407
Tennessee,2011,0.45836783917499796
Texas,2011,0.36119646777258785
Utah,2011,0.3745430140492505
Vermont,2011,0.4574708872508873
Virginia,2011,0.35176450942870263
Washington,2011,0.2871838316118594
West Virginia,2011,0.49450744792810863
Wisconsin,2011,0.38399270826335297
Wyoming,2011,0.6123990750735193
Alabama,2012,0.5027374540170859
Alaska,2012,0.4807968444877559
Arizona,2012,0.3437432243484462
Arkansas,2012,0.4915266875311994
California,2012,0.21029827926350875
Colorado,2012,0.33036056397299945
Connecticut,2012,0.1561523448989467
Delaware,2012,0.2053979055247968
Florida,2012,0.28501459390994976
Georgia,2012,0.38976999373729965
Hawaii,2012,0.10305182637355818
Idaho,2012,0.5022022241074012
Illinois,2012,0.21834754648215246
Indiana,2012,0.3406582137172476
Iowa,2012,0.329927888588043
Kansas,2012,0.4128590096766532
Kentucky,2012,0.44068815562705504
Louisiana,2012,0.44330754100943975
Maine,2012,0.4387667691308524
Maryland,2012,0.2666115184583318
Massachusetts,2012,0.11939772785378627
Michigan,2012,0.3478105076029701
Minnesota,2012,0.3658050877378489
Mississippi,2012,0.4871946029515246
Missouri,2012,0.414592821987793
Montana,2012,0.6236127155314685
Nebraska,2012,0.3680623220163213
Nevada,2012,0.3052000972326625
New Hampshire,2012,0.3035981310824834
New Jersey,2012,0.10995459288773522
New Mexico,2012,0.3290992523762924
New York,2012,0.17496868097347942
North Carolina,2012,0.3537831135577052
North Dakota,2012,0.5651550617210277
Ohio,2012,0.3093742061859793
Oklahoma,2012,0.44788256067733395
Oregon,2012,0.34758248638438904
Pennsylvania,2012,0.34470251798230317
Rhode Island,2012,0.1176080597210221
South Carolina,2012,0.40807461867095846
South Dakota,2012,0.6240166087582433
Tennessee,2012,0.47002209348952967
Texas,2012,0.3556855325951201
Utah,2012,0.3632214566840113
Vermont,2012,0.44957240659961206
Virginia,2012,0.3379277250152841
Washington,2012,0.30187090538101935
West Virginia,2012,0.46522062812120146
Wisconsin,2012,0.38999974358400086
Wyoming,2012,0.5959906366306664
Alabama,2013,0.5078480131736505
Alaska,2013,0.5451119475928957
Arizona,2013,0.337019626599305
Arkansas,2013,0.4872545323948536
California,2013,0.20527176095678712
Colorado,2013,0.3158739132269812
Connecticut,2013,0.1412166680068716
Delaware,2013,0.28131846177147174
Florida,2013,0.29639547290850354
Georgia,2013,0.3777738243370761
Hawaii,2013,0.06428477004158477
Idaho,2013,0.5323170290921212
Illinois,2013,0.2152838172459235
Indiana,2013,0.3445843366499654
Iowa,2013,0.34217595399024797
Kansas,2013,0.3939227579809097
Kentucky,2013,0.4377229873639747
Louisiana,2013,0.47141177124951994
